OTU ID	Catalina.A.Ae	Catalina.A.C1	Catalina.A.C2	Onna.April.A3	Onna.April.A4	Onna.May.A1	Onna.May.A10	Onna.May.A11	Onna.May.A12	Onna.May.A3	Onna.May.A6	Onna.May.A7	st10.A.10	st12.A.11	st12.A.12	st12.A.14	st12.A.15	st12.A.16	st13.A.18	st13.A.19	st13.A.20	st13.A.21	st17.A.22	st17.A.25	st17.A.27	st17.A.28	st17.A.29	st17.A.31	st17.A.33	st17.A.34	st17.A.35	st17.A.36	st17.A.39	st17.A.40	st17.A.42	st17.A.43	st2.A.1	st2.A.3	st2.A.5	st2.A.6	st2.A.7	st4.A.9
68329a2730ea9c40c1ada8382bc777ff	2.46292372881356	4.52652041099695	14.7484344633988	0	0	0	1.69761273209549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
08727e34d38651902aeed751038abdb4	4.92584745762712	2.75849301120059	5.78708702224142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c6c0cfe2a2605bab54c8fd589c482f86	12.1027542372881	17.587707118393	7.27704599438566	0	0	19.3548387096774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b5e568252e7a6c38f944eb293aa2997f	50.2648305084746	50.5230028695733	35.7374217231699	0	0	0	2.46684350132626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.8433188433188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9fad3d290d222215c731f7129edae657	0	1.55512357678423	0	0	0	0	0	63.2249413342273	0	0	14.6482122260669	6.76923076923077	5.26953361599031	6.12481857764877	0	10.02079002079	0	0	0	4.21259842519685	12	0	0	10.1304101304101	4.5475216007276	9.89399293286219	8.49648355825889	24.2186442971181	4.58624127617149	13.9263485477178	13.3425034387895	8.49041404865475	0	0	4.40459110473458	0	0	0	0	23.6180904522613	0	3.94006659267481
91749dc9843e2d70987583551ca49723	0.158898305084746	0.203647135055077	0.172748866335565	0.493096646942801	0.68886337543054	0.2615518744551	1.03448275862069	0	0	1.16009280742459	11.8800461361015	1.47692307692308	1.3930950938825	0.725689404934688	0.852272727272727	0.831600831600832	1.79689627007895	1.71617161716172	1.23753867308353	1.83070866141732	1.04347826086957	15.0851581508516	0.799031476997579	0.264600264600265	1.09140518417462	0.353356890459364	0.798327314198822	0.378839128670004	0.797607178464606	0.803941908713693	0.550206327372765	0.853874657644595	1.13173381620643	1.02379235760634	1.56384505021521	1.03225806451613	0.777604976671851	0.651176557643925	1.02082482645978	0.558347292015634	1.31887456037515	0.72142064372919
b2a8213f912d0b48b69a9408eac17de1	10.2224576271186	4.40618346755531	6.47808248758368	53.353057199211	45.2353616532721	11.4210985178727	18.3289124668435	0	0	20.4563031709203	0	22.1538461538462	46.1235614778922	52.510885341074	43.1107954545455	48.7110187110187	28.233052001089	59.5379537953795	48.3671364730148	0	41.3913043478261	0	33.9225181598063	8.86410886410886	35.2887676216462	25.9717314487633	27.599315719445	36.7068055743472	36.370887337986	59.2842323651452	37.414030261348	25.6323505719349	35.740153915799	13.5976928622927	64.8206599713056	67.4064516129032	37.6360808709176	76.824034334764	63.4748877092691	65.6616415410385	44.1676436107855	33.0743618201998
b42b4047cf9b714da057588e5b140b38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.80873180873181	0	0	0	0	0	0	0	0	0	0	0	1.2853470437018	0	0	0	0	0	0	1.69296987087518	0	0	2.58990676335652	1.91915067374439	0	0	0
5381126786c06849b9f752b9ca506923	0	0.453577709895399	0	2.66272189349112	2.79372368924608	4.2720139494333	1.11405835543767	3.51994636272209	0	4.64037122969838	1.84544405997693	0.492307692307692	4.57298606904906	2.20609579100145	4.90056818181818	0.540540540540541	2.2733460386605	14.3234323432343	1.58129941560674	0.669291338582677	1.30434782608696	0	1.91283292978208	6.23700623700624	1.18235561618918	0.88339222614841	0.551226002661091	0.622378568529292	0.797607178464606	0.544605809128631	0.550206327372765	0.612212018688577	1.06382978723404	0	0.186513629842181	0	3.73250388802488	0	9.14659044507962	2.62423227247348	8.55803048065651	0.943396226415094
bbc7c49d5357acba3f339b5d4948d83c	6.32944915254237	2.12903823012126	8.42150723385878	13.4122287968442	8.99349406812093	7.75937227550131	2.94429708222812	0	0	0	0	0	2.87704421562689	0	7.17329545454545	0	1.07541519194119	0	0	0	0	0	0	7.73010773010773	2.04638472032742	10.6890459363958	6.063486029272	5.19550805033148	5.9222333000997	0	15.4057771664374	2.20718543579829	0.973291081937528	6.77721701514059	0	0	0	12.4463519313305	0	0	5.74443141852286	5.71587125416204
8f4a67ec1714a2aacc008d3e5abeccdd	0	0	0	0	0	0	0	0	9.96292863762743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.01064436418932	9.94452712758761	2.91126620139581	0.233402489626556	0	9.36039954889641	0	0	0	0	0	0	0	0	0	0
72f48d1ec22adf1cb4703754cfadee8a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78125	0	0	0	0	0	0	0	0	0	1.54615734424739	0	0.01900779319521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8525d67ae64a715e4d832020e2fae217	0	0	1.18764845605701	0	14.3895905089935	11.333914559721	17.3474801061008	0	2.87303058387396	19.5282289249807	25.7208765859285	11.5692307692308	2.84675953967293	3.36719883889695	0	0	4.6692077320991	17.2937293729373	0	6.12204724409449	0	12.4087591240876	3.94673123486683	10.1493101493101	4.59299681673488	0	6.12050940885763	4.97902854823434	0	0	0	6.31545029805059	2.89723856948846	9.77649603460707	0	0	0	0	0	0	4.80656506447831	31.2985571587125
601088af3dfad3648cf75c7613d2b530	0	0	0	0	0.497512437810945	0	1.64456233421751	0.569896077774053	1.29749768303985	0	0	0	0.908540278619019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.440871369294606	0	0	0	0	0	0	0	0	0	0	0	0
